"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"UPM00033342","NEMESHAEVO, UP","2000-06-03",,,"69","74","52"
"UPM00033342","NEMESHAEVO, UP","2000-06-04",,,"74","81","56"
"UPM00033342","NEMESHAEVO, UP","2000-06-05",,,"81","89","60"
"UPM00033342","NEMESHAEVO, UP","2000-06-06",,,"89","89","67"
"UPM00033342","NEMESHAEVO, UP","2000-06-08",,,,"70",
"UPM00033342","NEMESHAEVO, UP","2000-06-09",,,,"70","50"
"UPM00033342","NEMESHAEVO, UP","2000-06-10",,,"70","73","57"
"UPM00033342","NEMESHAEVO, UP","2000-06-11",,,"73","81","52"
"UPM00033342","NEMESHAEVO, UP","2000-06-12",,,"81","85","59"
"UPM00033342","NEMESHAEVO, UP","2000-06-13",,,"85","78","67"
"UPM00033342","NEMESHAEVO, UP","2000-06-14",,,"78","86","61"
"UPM00033342","NEMESHAEVO, UP","2000-06-15",,,"86",,"66"
"UPM00033342","NEMESHAEVO, UP","2000-06-17",,,,"62",
"UPM00033342","NEMESHAEVO, UP","2000-06-18",,,,"59","47"
"UPM00033342","NEMESHAEVO, UP","2000-06-19",,,,"63","47"
"UPM00033342","NEMESHAEVO, UP","2000-06-20",,,,"66","47"
"UPM00033342","NEMESHAEVO, UP","2000-06-21",,,"66","59","50"
"UPM00033342","NEMESHAEVO, UP","2000-06-22",,,"59","68","54"
"UPM00033342","NEMESHAEVO, UP","2000-06-23",,,"68","73","55"
"UPM00033342","NEMESHAEVO, UP","2000-06-24",,,"73","83","59"
"UPM00033342","NEMESHAEVO, UP","2000-06-25",,,,"82","63"
"UPM00033342","NEMESHAEVO, UP","2000-06-26",,,,"75","63"
"UPM00033342","NEMESHAEVO, UP","2000-06-27",,,,"69","55"
"UPM00033342","NEMESHAEVO, UP","2000-06-28",,,,"67","53"
"UPM00033342","NEMESHAEVO, UP","2000-06-29",,,,"68","50"
"UPM00033342","NEMESHAEVO, UP","2000-06-30",,,"68","72","54"
"UPM00033342","NEMESHAEVO, UP","2000-07-01",,,,"70","35"
"UPM00033342","NEMESHAEVO, UP","2000-07-02",,,"70","81","57"
"UPM00033342","NEMESHAEVO, UP","2000-07-03",,,,,"59"
"UPM00033342","NEMESHAEVO, UP","2000-07-05",,,,"75",
"UPM00033342","NEMESHAEVO, UP","2000-07-06",,,,"72","60"
"UPM00033342","NEMESHAEVO, UP","2000-07-07",,,,"73","61"
"UPM00033342","NEMESHAEVO, UP","2000-07-08",,,"73","78","59"
"UPM00033342","NEMESHAEVO, UP","2000-07-09",,,,"75","62"
"UPM00033342","NEMESHAEVO, UP","2000-07-10",,,,"72","59"
"UPM00033342","NEMESHAEVO, UP","2000-07-11",,,,"79","56"
"UPM00033342","NEMESHAEVO, UP","2000-07-12",,,"79","81","62"
"UPM00033342","NEMESHAEVO, UP","2000-07-13",,,"81","69","61"
"UPM00033342","NEMESHAEVO, UP","2000-07-14",,,,"72","63"
"UPM00033342","NEMESHAEVO, UP","2000-07-15",,,,"73","56"
"UPM00033342","NEMESHAEVO, UP","2000-07-16",,,"73","77","58"
"UPM00033342","NEMESHAEVO, UP","2000-07-17",,,,"74","62"
"UPM00033342","NEMESHAEVO, UP","2000-07-18",,,,"69","56"
"UPM00033342","NEMESHAEVO, UP","2000-07-19",,,,"71","58"
"UPM00033342","NEMESHAEVO, UP","2000-07-20",,,"71","72","62"
"UPM00033342","NEMESHAEVO, UP","2000-07-21",,,,"73","62"
"UPM00033342","NEMESHAEVO, UP","2000-07-22",,,,"76","59"
"UPM00033342","NEMESHAEVO, UP","2000-07-23",,,"76","73","63"
"UPM00033342","NEMESHAEVO, UP","2000-07-24",,,,"80","61"
"UPM00033342","NEMESHAEVO, UP","2000-07-25",,,"80","82","64"
"UPM00033342","NEMESHAEVO, UP","2000-07-26",,,"82","82","68"
"UPM00033342","NEMESHAEVO, UP","2000-07-27",,,,"77","66"
"UPM00033342","NEMESHAEVO, UP","2000-07-28",,,,"73","63"
"UPM00033342","NEMESHAEVO, UP","2000-07-29",,,,"79","60"
"UPM00033342","NEMESHAEVO, UP","2000-07-30",,,,"75","60"
"UPM00033342","NEMESHAEVO, UP","2000-07-31",,,"75","68","64"
"UPM00033342","NEMESHAEVO, UP","2000-08-01",,,,"72","62"
"UPM00033342","NEMESHAEVO, UP","2000-08-02",,,,,"59"
"UPM00033342","NEMESHAEVO, UP","2000-08-03",,,,"82",
"UPM00033342","NEMESHAEVO, UP","2000-08-04",,,"82","83","64"
"UPM00033342","NEMESHAEVO, UP","2000-08-05",,,"83",,"61"
"UPM00033342","NEMESHAEVO, UP","2000-08-06",,,,"78",
"UPM00033342","NEMESHAEVO, UP","2000-08-07",,,"78","85","65"
"UPM00033342","NEMESHAEVO, UP","2000-08-08",,,,"80","65"
"UPM00033342","NEMESHAEVO, UP","2000-08-09",,,,"72","60"
"UPM00033342","NEMESHAEVO, UP","2000-08-10",,,"72","73","56"
"UPM00033342","NEMESHAEVO, UP","2000-08-11",,,"73","77","56"
"UPM00033342","NEMESHAEVO, UP","2000-08-12",,,"77","80","62"
"UPM00033342","NEMESHAEVO, UP","2000-08-13",,,,"78","64"
"UPM00033342","NEMESHAEVO, UP","2000-08-14",,,,"73","62"
"UPM00033342","NEMESHAEVO, UP","2000-08-15",,,"73","77","62"
"UPM00033342","NEMESHAEVO, UP","2000-08-16",,,"77","81","60"
"UPM00033342","NEMESHAEVO, UP","2000-08-17",,,"81","86","64"
"UPM00033342","NEMESHAEVO, UP","2000-08-18",,,"86","89","65"
"UPM00033342","NEMESHAEVO, UP","2000-08-19",,,"89","83","66"
"UPM00033342","NEMESHAEVO, UP","2000-08-20",,,"83","90","68"
"UPM00033342","NEMESHAEVO, UP","2000-08-21",,,"90","95","70"
"UPM00033342","NEMESHAEVO, UP","2000-08-22",,,"95","97","73"
"UPM00033342","NEMESHAEVO, UP","2000-08-23",,,"97","86","62"
"UPM00033342","NEMESHAEVO, UP","2000-08-24",,,"86","72","55"
"UPM00033342","NEMESHAEVO, UP","2000-08-25",,,"72","72","54"
"UPM00033342","NEMESHAEVO, UP","2000-08-26",,,"72","66","52"
"UPM00033342","NEMESHAEVO, UP","2000-08-27",,,,"74","58"
"UPM00033342","NEMESHAEVO, UP","2000-08-28",,,"74","74","58"
"UPM00033342","NEMESHAEVO, UP","2000-08-29",,,"74","72","58"
"UPM00033342","NEMESHAEVO, UP","2000-08-30",,,,"68","58"
"UPM00033342","NEMESHAEVO, UP","2000-08-31",,,"68","67","58"
"UPM00033342","NEMESHAEVO, UP","2000-09-01",,,"67","75","52"
"UPM00033342","NEMESHAEVO, UP","2000-09-02",,,,"62","59"
"UPM00033342","NEMESHAEVO, UP","2000-09-03",,,,"67","59"
"UPM00033342","NEMESHAEVO, UP","2000-09-04",,,"67","72","58"
"UPM00033342","NEMESHAEVO, UP","2000-09-05",,,"72","66","54"
"UPM00033342","NEMESHAEVO, UP","2000-09-06",,,"66","62","55"
"UPM00033342","NEMESHAEVO, UP","2000-09-07",,,,"60","54"
"UPM00033342","NEMESHAEVO, UP","2000-09-08",,,,"58","55"
"UPM00033342","NEMESHAEVO, UP","2000-09-09",,,,"69","54"
"UPM00033342","NEMESHAEVO, UP","2000-09-10",,,"69","78","58"
"UPM00033342","NEMESHAEVO, UP","2000-09-11",,,"78","65","59"
"UPM00033342","NEMESHAEVO, UP","2000-09-12",,,"65","66","50"
"UPM00033342","NEMESHAEVO, UP","2000-09-13",,,,"63","47"
"UPM00033342","NEMESHAEVO, UP","2000-09-14",,,,"50","53"
"UPM00033342","NEMESHAEVO, UP","2000-09-15",,,,"55","49"
"UPM00033342","NEMESHAEVO, UP","2000-09-16",,,,"54","44"
"UPM00033342","NEMESHAEVO, UP","2000-09-17",,,"54","54",
"UPM00033342","NEMESHAEVO, UP","2000-09-18",,,,"46","44"
"UPM00033342","NEMESHAEVO, UP","2000-09-19",,,,,"46"
"UPM00033342","NEMESHAEVO, UP","2000-09-21",,,,"56",
"UPM00033342","NEMESHAEVO, UP","2000-09-22",,,,"56","48"
"UPM00033342","NEMESHAEVO, UP","2000-09-23",,,"56","54","41"
"UPM00033342","NEMESHAEVO, UP","2000-09-24",,,"54","56","37"
"UPM00033342","NEMESHAEVO, UP","2000-09-25",,,"56","56","46"
"UPM00033342","NEMESHAEVO, UP","2000-09-26",,,"56","57","51"
"UPM00033342","NEMESHAEVO, UP","2000-09-27",,,"57","57","47"
"UPM00033342","NEMESHAEVO, UP","2000-09-28",,,"57","62","41"
"UPM00033342","NEMESHAEVO, UP","2000-09-29",,,"62","63","49"
"UPM00033342","NEMESHAEVO, UP","2000-09-30",,,,"64","46"
"UPM00033342","NEMESHAEVO, UP","2000-10-01",,,"64","66","43"
"UPM00033342","NEMESHAEVO, UP","2000-10-02",,,"66","65","37"
"UPM00033342","NEMESHAEVO, UP","2000-10-03",,,"65","72","46"
"UPM00033342","NEMESHAEVO, UP","2000-10-04",,,"72","74","49"
"UPM00033342","NEMESHAEVO, UP","2000-10-05",,,"74","71","47"
"UPM00033342","NEMESHAEVO, UP","2000-10-06",,,"71","71","45"
"UPM00033342","NEMESHAEVO, UP","2000-10-07",,,,"68","47"
"UPM00033342","NEMESHAEVO, UP","2000-10-08",,,"68","60","46"
"UPM00033342","NEMESHAEVO, UP","2000-10-09",,,"60","50","37"
"UPM00033342","NEMESHAEVO, UP","2000-10-10",,,,"46","40"
"UPM00033342","NEMESHAEVO, UP","2000-10-11",,,,"51","45"
"UPM00033342","NEMESHAEVO, UP","2000-10-12",,,"51","53","47"
"UPM00033342","NEMESHAEVO, UP","2000-10-13",,,"53","61","47"
"UPM00033342","NEMESHAEVO, UP","2000-10-14",,,"61","62","40"
"UPM00033342","NEMESHAEVO, UP","2000-10-15",,,"62","56","50"
"UPM00033342","NEMESHAEVO, UP","2000-10-16",,,"56","53","43"
"UPM00033342","NEMESHAEVO, UP","2000-10-17",,,"53","52","40"
"UPM00033342","NEMESHAEVO, UP","2000-10-18",,,"52","50","46"
"UPM00033342","NEMESHAEVO, UP","2000-10-19",,,"50","50","37"
"UPM00033342","NEMESHAEVO, UP","2000-10-20",,,"50","48","33"
"UPM00033342","NEMESHAEVO, UP","2000-10-21",,,"48","48","35"
"UPM00033342","NEMESHAEVO, UP","2000-10-22",,,"48","51","38"
"UPM00033342","NEMESHAEVO, UP","2000-10-23",,,"51","57","36"
"UPM00033342","NEMESHAEVO, UP","2000-10-24",,,"57","51","38"
"UPM00033342","NEMESHAEVO, UP","2000-10-25",,,"51","56","37"
"UPM00033342","NEMESHAEVO, UP","2000-10-26",,,"56","50","44"
"UPM00033342","NEMESHAEVO, UP","2000-10-27",,,,,"50"
"UPM00033342","NEMESHAEVO, UP","2000-10-28",,,,"54",
"UPM00033342","NEMESHAEVO, UP","2000-10-29",,,"54","56","44"
"UPM00033342","NEMESHAEVO, UP","2000-10-30",,,"56","57","43"
"UPM00033342","NEMESHAEVO, UP","2000-10-31",,,"57","53","40"
"UPM00033342","NEMESHAEVO, UP","2000-11-01",,,"53","56","47"
"UPM00033342","NEMESHAEVO, UP","2000-11-02",,,"56","52","47"
"UPM00033342","NEMESHAEVO, UP","2000-11-03",,,,"51","50"
"UPM00033342","NEMESHAEVO, UP","2000-11-04",,,,"53","50"
"UPM00033342","NEMESHAEVO, UP","2000-11-05",,,,"54","50"
"UPM00033342","NEMESHAEVO, UP","2000-11-06",,,,"51","49"
"UPM00033342","NEMESHAEVO, UP","2000-11-07",,,,"47","46"
"UPM00033342","NEMESHAEVO, UP","2000-11-08",,,,"46","43"
"UPM00033342","NEMESHAEVO, UP","2000-11-09",,,,"46","44"
"UPM00033342","NEMESHAEVO, UP","2000-11-10",,,,"50","40"
"UPM00033342","NEMESHAEVO, UP","2000-11-11",,,,"41","40"
"UPM00033342","NEMESHAEVO, UP","2000-11-12",,,,"46","37"
"UPM00033342","NEMESHAEVO, UP","2000-11-13",,,"46","47","33"
"UPM00033342","NEMESHAEVO, UP","2000-11-14",,,"47","50","45"
"UPM00033342","NEMESHAEVO, UP","2000-11-15",,,"50","50","49"
"UPM00033342","NEMESHAEVO, UP","2000-11-16",,,"50","53","48"
"UPM00033342","NEMESHAEVO, UP","2000-11-17",,,"53","44","44"
"UPM00033342","NEMESHAEVO, UP","2000-11-18",,,"44",,"37"
"UPM00033342","NEMESHAEVO, UP","2000-11-19",,,,"45",
"UPM00033342","NEMESHAEVO, UP","2000-11-20",,,"45","42","37"
"UPM00033342","NEMESHAEVO, UP","2000-11-21",,,,"40","35"
"UPM00033342","NEMESHAEVO, UP","2000-11-22",,,,"40","36"
"UPM00033342","NEMESHAEVO, UP","2000-11-23",,,"40","39","35"
"UPM00033342","NEMESHAEVO, UP","2000-11-24",,,,,"32"
"UPM00033342","NEMESHAEVO, UP","2000-11-27",,,,"29",
"UPM00033342","NEMESHAEVO, UP","2000-11-28",,,,"27","25"
"UPM00033342","NEMESHAEVO, UP","2000-11-29",,,,"32","27"
"UPM00033342","NEMESHAEVO, UP","2000-11-30",,,"32","35",
"UPM00033342","NEMESHAEVO, UP","2000-12-01",,,"35","41","35"
"UPM00033342","NEMESHAEVO, UP","2000-12-02",,,"41","37","36"
"UPM00033342","NEMESHAEVO, UP","2000-12-03",,,"37","35","30"
"UPM00033342","NEMESHAEVO, UP","2000-12-04",,,"35","35","29"
"UPM00033342","NEMESHAEVO, UP","2000-12-05",,,"35",,"35"
"UPM00033342","NEMESHAEVO, UP","2000-12-06",,,,"42",
"UPM00033342","NEMESHAEVO, UP","2000-12-07",,,"42","39","31"
"UPM00033342","NEMESHAEVO, UP","2000-12-08",,,"39","35","29"
"UPM00033342","NEMESHAEVO, UP","2000-12-09",,,"35","43","29"
"UPM00033342","NEMESHAEVO, UP","2000-12-10",,,,"44","34"
"UPM00033342","NEMESHAEVO, UP","2000-12-11",,,"44","44","40"
"UPM00033342","NEMESHAEVO, UP","2000-12-12",,,,"45",
"UPM00033342","NEMESHAEVO, UP","2000-12-13",,,,"44","41"
"UPM00033342","NEMESHAEVO, UP","2000-12-14",,,,"50","43"
"UPM00033342","NEMESHAEVO, UP","2000-12-15",,,,"44","40"
"UPM00033342","NEMESHAEVO, UP","2000-12-16",,,,"42","40"
"UPM00033342","NEMESHAEVO, UP","2000-12-17",,,,"39","31"
"UPM00033342","NEMESHAEVO, UP","2000-12-18",,,,"32","34"
"UPM00033342","NEMESHAEVO, UP","2000-12-19",,,,"34","32"
"UPM00033342","NEMESHAEVO, UP","2000-12-20",,,,"27","26"
"UPM00033342","NEMESHAEVO, UP","2000-12-21",,,,"28","22"
"UPM00033342","NEMESHAEVO, UP","2000-12-22",,,,"27","21"
"UPM00033342","NEMESHAEVO, UP","2000-12-23",,,,"29","24"
"UPM00033342","NEMESHAEVO, UP","2000-12-24",,,"29","27","21"
"UPM00033342","NEMESHAEVO, UP","2000-12-25",,,,"33","23"
"UPM00033342","NEMESHAEVO, UP","2000-12-26",,,,,"28"
"UPM00033342","NEMESHAEVO, UP","2001-01-01",,,,"35","29"
"UPM00033342","NEMESHAEVO, UP","2001-01-02",,,"35","33","27"
"UPM00033342","NEMESHAEVO, UP","2001-01-03",,,"33","32","29"
"UPM00033342","NEMESHAEVO, UP","2001-01-04",,,"32","34","29"
"UPM00033342","NEMESHAEVO, UP","2001-01-05",,,,,"33"
"UPM00033342","NEMESHAEVO, UP","2001-01-06",,,"37","39",
"UPM00033342","NEMESHAEVO, UP","2001-01-07",,,,"44","38"
"UPM00033342","NEMESHAEVO, UP","2001-01-08",,,,"42",
"UPM00033342","NEMESHAEVO, UP","2001-01-09",,,,"44","40"
"UPM00033342","NEMESHAEVO, UP","2001-01-10",,,,"36","33"
"UPM00033342","NEMESHAEVO, UP","2001-01-11",,,,"38","33"
"UPM00033342","NEMESHAEVO, UP","2001-01-12",,,,"31","27"
"UPM00033342","NEMESHAEVO, UP","2001-01-13",,,,"28","26"
"UPM00033342","NEMESHAEVO, UP","2001-01-14",,,"28","30","21"
"UPM00033342","NEMESHAEVO, UP","2001-01-15",,,,"35","30"
"UPM00033342","NEMESHAEVO, UP","2001-01-16",,,,,"33"
"UPM00033342","NEMESHAEVO, UP","2001-01-17",,,,"30",
"UPM00033342","NEMESHAEVO, UP","2001-01-18",,,"30","28","26"
"UPM00033342","NEMESHAEVO, UP","2001-01-19",,,,"31","28"
"UPM00033342","NEMESHAEVO, UP","2001-01-20",,,,"24","23"
"UPM00033342","NEMESHAEVO, UP","2001-01-21",,,,"24","23"
"UPM00033342","NEMESHAEVO, UP","2001-01-22",,,,"25","18"
"UPM00033342","NEMESHAEVO, UP","2001-01-23",,,,"24","20"
"UPM00033342","NEMESHAEVO, UP","2001-01-24",,,,"26","11"
"UPM00033342","NEMESHAEVO, UP","2001-01-25",,,"26","30","15"
"UPM00033342","NEMESHAEVO, UP","2001-01-26",,,"30","38","28"
"UPM00033342","NEMESHAEVO, UP","2001-01-27",,,,"43","36"
"UPM00033342","NEMESHAEVO, UP","2001-01-28",,,,"39","32"
"UPM00033342","NEMESHAEVO, UP","2001-01-29",,,"39","36","33"
"UPM00033342","NEMESHAEVO, UP","2001-01-30",,,,"35",
"UPM00033342","NEMESHAEVO, UP","2001-01-31",,,"35","32","32"
"UPM00033342","NEMESHAEVO, UP","2001-02-01",,,,"32","30"
"UPM00033342","NEMESHAEVO, UP","2001-02-02",,,,"29","23"
"UPM00033342","NEMESHAEVO, UP","2001-02-03",,,"29","23","18"
"UPM00033342","NEMESHAEVO, UP","2001-02-04",,,,"24","13"
"UPM00033342","NEMESHAEVO, UP","2001-02-05",,,,"23",
"UPM00033342","NEMESHAEVO, UP","2001-02-06",,,,"28","19"
"UPM00033342","NEMESHAEVO, UP","2001-02-07",,,,"31","28"
"UPM00033342","NEMESHAEVO, UP","2001-02-08",,,"31","35","31"
"UPM00033342","NEMESHAEVO, UP","2001-02-09",,,"35","39","35"
"UPM00033342","NEMESHAEVO, UP","2001-02-10",,,"39","40","32"
"UPM00033342","NEMESHAEVO, UP","2001-02-11",,,"40","34","31"
"UPM00033342","NEMESHAEVO, UP","2001-02-12",,,"34","35","28"
"UPM00033342","NEMESHAEVO, UP","2001-02-13",,,"35","41","33"
"UPM00033342","NEMESHAEVO, UP","2001-02-14",,,"41","39","35"
"UPM00033342","NEMESHAEVO, UP","2001-02-15",,,,"40","30"
"UPM00033342","NEMESHAEVO, UP","2001-02-16",,,"40","39","33"
"UPM00033342","NEMESHAEVO, UP","2001-02-17",,,"39","33","29"
"UPM00033342","NEMESHAEVO, UP","2001-02-18",,,"33","35","27"
"UPM00033342","NEMESHAEVO, UP","2001-02-19",,,,"29","23"
"UPM00033342","NEMESHAEVO, UP","2001-02-20",,,,"26","12"
"UPM00033342","NEMESHAEVO, UP","2001-02-21",,,,"35","19"
"UPM00033342","NEMESHAEVO, UP","2001-02-22",,,,"34","30"
"UPM00033342","NEMESHAEVO, UP","2001-02-23",,,,"33",
"UPM00033342","NEMESHAEVO, UP","2001-02-24",,,"33","29","12"
"UPM00033342","NEMESHAEVO, UP","2001-02-25",,,,"28","9"
"UPM00033342","NEMESHAEVO, UP","2001-02-26",,,"28","28","13"
"UPM00033342","NEMESHAEVO, UP","2001-02-27",,,,"22",
"UPM00033342","NEMESHAEVO, UP","2001-02-28",,,,"33","18"
"UPM00033342","NEMESHAEVO, UP","2001-03-01",,,,"32","18"
"UPM00033342","NEMESHAEVO, UP","2001-03-02",,,,"34","25"
"UPM00033342","NEMESHAEVO, UP","2001-03-03",,,,"42","28"
"UPM00033342","NEMESHAEVO, UP","2001-03-04",,,,,"34"
"UPM00033342","NEMESHAEVO, UP","2001-03-05",,,,"43",
"UPM00033342","NEMESHAEVO, UP","2001-03-06",,,,"38","28"
"UPM00033342","NEMESHAEVO, UP","2001-03-07",,,"38","45","29"
"UPM00033342","NEMESHAEVO, UP","2001-03-08",,,"45","40","28"
"UPM00033342","NEMESHAEVO, UP","2001-03-09",,,"40","33","28"
"UPM00033342","NEMESHAEVO, UP","2001-03-10",,,"33","41","36"
"UPM00033342","NEMESHAEVO, UP","2001-03-11",,,,"51","38"
"UPM00033342","NEMESHAEVO, UP","2001-03-12",,,,"61","33"
"UPM00033342","NEMESHAEVO, UP","2001-03-13",,,"61","61","35"
"UPM00033342","NEMESHAEVO, UP","2001-03-14",,,"61","60","45"
"UPM00033342","NEMESHAEVO, UP","2001-03-15",,,,"41","35"
"UPM00033342","NEMESHAEVO, UP","2001-03-16",,,,"47","34"
"UPM00033342","NEMESHAEVO, UP","2001-03-17",,,,"51","36"
"UPM00033342","NEMESHAEVO, UP","2001-03-18",,,,"36","34"
"UPM00033342","NEMESHAEVO, UP","2001-03-19",,,,"42","32"
"UPM00033342","NEMESHAEVO, UP","2001-03-20",,,,"48","38"
"UPM00033342","NEMESHAEVO, UP","2001-03-21",,,,"38","31"
"UPM00033342","NEMESHAEVO, UP","2001-03-22",,,"38","35","26"
"UPM00033342","NEMESHAEVO, UP","2001-03-23",,,"35","41","26"
"UPM00033342","NEMESHAEVO, UP","2001-03-24",,,"41","36","27"
"UPM00033342","NEMESHAEVO, UP","2001-03-25",,,"36","35","29"
"UPM00033342","NEMESHAEVO, UP","2001-03-26",,,,"34","33"
"UPM00033342","NEMESHAEVO, UP","2001-03-27",,,,"33","28"
"UPM00033342","NEMESHAEVO, UP","2001-03-28",,,"33","36","26"
"UPM00033342","NEMESHAEVO, UP","2001-03-29",,,"36","44","28"
"UPM00033342","NEMESHAEVO, UP","2001-03-30",,,"44","44","28"
"UPM00033342","NEMESHAEVO, UP","2001-03-31",,,"44","45","28"
"UPM00033342","NEMESHAEVO, UP","2001-04-01",,,"45","51","30"
"UPM00033342","NEMESHAEVO, UP","2001-04-02",,,"51","57","29"
"UPM00033342","NEMESHAEVO, UP","2001-04-03",,,"57","60","39"
"UPM00033342","NEMESHAEVO, UP","2001-04-04",,,"60","67","37"
"UPM00033342","NEMESHAEVO, UP","2001-04-05",,,"67","63","41"
"UPM00033342","NEMESHAEVO, UP","2001-04-06",,,"63","65","44"
"UPM00033342","NEMESHAEVO, UP","2001-04-07",,,"65","55","43"
"UPM00033342","NEMESHAEVO, UP","2001-04-08",,,"55","64","44"
"UPM00033342","NEMESHAEVO, UP","2001-04-09",,,,"68","44"
"UPM00033342","NEMESHAEVO, UP","2001-04-10",,,"68","69","48"
"UPM00033342","NEMESHAEVO, UP","2001-04-11",,,"69","69","45"
"UPM00033342","NEMESHAEVO, UP","2001-04-12",,,"69","63","46"
"UPM00033342","NEMESHAEVO, UP","2001-04-13",,,,"51","44"
"UPM00033342","NEMESHAEVO, UP","2001-04-14",,,,"47","35"
"UPM00033342","NEMESHAEVO, UP","2001-04-15",,,"47","51","32"
"UPM00033342","NEMESHAEVO, UP","2001-04-16",,,"51","54","37"
"UPM00033342","NEMESHAEVO, UP","2001-04-17",,,"54",,"44"
"UPM00033342","NEMESHAEVO, UP","2001-04-18",,,,"59",
"UPM00033342","NEMESHAEVO, UP","2001-04-19",,,"59",,"44"
"UPM00033342","NEMESHAEVO, UP","2001-04-20",,,,"64",
"UPM00033342","NEMESHAEVO, UP","2001-04-21",,,"64","61","48"
"UPM00033342","NEMESHAEVO, UP","2001-04-22",,,,"67","49"
"UPM00033342","NEMESHAEVO, UP","2001-04-23",,,,"68","55"
"UPM00033342","NEMESHAEVO, UP","2001-04-24","0.12",,,"63","52"
"UPM00033342","NEMESHAEVO, UP","2001-04-25",,,,"61","50"
"UPM00033342","NEMESHAEVO, UP","2001-04-26",,,"61","57","47"
"UPM00033342","NEMESHAEVO, UP","2001-04-27",,,,"58","53"
"UPM00033342","NEMESHAEVO, UP","2001-04-28",,,,"59","46"
"UPM00033342","NEMESHAEVO, UP","2001-04-29",,,,"64","45"
"UPM00033342","NEMESHAEVO, UP","2001-04-30",,,,"66","48"
"UPM00033342","NEMESHAEVO, UP","2001-05-01",,,"66","74","49"
"UPM00033342","NEMESHAEVO, UP","2001-05-02",,,,,"52"
"UPM00033342","NEMESHAEVO, UP","2001-05-03",,,,"62","54"
"UPM00033342","NEMESHAEVO, UP","2001-05-04",,,,"68","48"
"UPM00033342","NEMESHAEVO, UP","2001-05-05",,,"68","74","53"
"UPM00033342","NEMESHAEVO, UP","2001-05-06",,,,"73","58"
"UPM00033342","NEMESHAEVO, UP","2001-05-07",,,,"73","54"
"UPM00033342","NEMESHAEVO, UP","2001-05-08",,,"73","67","56"
"UPM00033342","NEMESHAEVO, UP","2001-05-09",,,"67","59","47"
"UPM00033342","NEMESHAEVO, UP","2001-05-10",,,,"63","51"
"UPM00033342","NEMESHAEVO, UP","2001-05-11",,,"63","62","52"
